rank,team_name,team_abbrev,def_rk,def_gp,def_pts,def_fgm,def_fga,def_fg_pct,def_3pm,def_3pa,def_3p_pct,def_ftm,def_fta,def_ft_pct,def_or,def_dr,def_reb,def_ast,def_stl,def_blk,def_to,def_pf,season,season_type
1,Minnesota Timberwolves,min,1,82,106.5,39.0,86.8,45.0,11.4,32.3,35.4,17.1,21.9,78.1,10.3,31.2,41.4,24.5,7.5,4.5,13.6,19.9,2023-24,regular
2,New York Knicks,ny,2,82,108.2,40.3,85.7,47.0,12.5,34.3,36.5,15.1,19.8,76.4,10.2,30.4,40.6,25.6,6.7,5.3,12.9,19.1,2023-24,regular
3,Miami Heat,mia,3,82,108.4,40.2,86.0,46.7,13.0,36.8,35.3,15.0,19.2,78.0,9.2,33.5,42.8,26.5,6.6,4.7,13.1,18.9,2023-24,regular
4,Orlando Magic,orl,4,82,108.4,39.8,84.0,47.4,11.5,32.1,35.8,17.3,22.2,78.0,8.9,30.9,39.9,23.9,8.1,4.6,14.4,20.9,2023-24,regular
5,Boston Celtics,bos,5,82,109.2,41.5,91.6,45.3,12.9,36.7,35.2,13.3,17.3,76.8,11.1,32.3,43.3,24.9,6.2,3.7,11.3,17.3,2023-24,regular
6,Denver Nuggets,den,6,82,109.6,40.6,87.9,46.2,11.2,31.5,35.5,17.1,22.2,77.2,10.9,31.4,42.3,25.7,7.0,4.8,11.7,17.9,2023-24,regular
7,Cleveland Cavaliers,cle,7,82,110.2,40.5,87.5,46.3,12.5,33.8,37.1,16.6,21.0,79.1,10.0,32.6,42.7,25.3,7.7,5.0,12.8,18.7,2023-24,regular
8,New Orleans Pelicans,no,8,82,110.7,40.5,87.3,46.4,13.5,38.7,34.9,16.2,20.7,78.3,10.1,32.2,42.3,26.8,6.5,5.2,13.4,18.4,2023-24,regular
9,Philadelphia 76Ers,phi,9,82,111.5,40.5,86.6,46.8,11.9,33.7,35.4,18.6,23.5,79.1,11.0,33.4,44.5,26.1,6.2,6.1,14.0,18.5,2023-24,regular
10,La Clippers,lac,10,82,112.3,41.6,88.9,46.8,12.9,35.4,36.3,16.2,21.0,77.5,11.1,31.1,42.2,26.4,7.3,4.7,12.4,18.7,2023-24,regular
11,Oklahoma City Thunder,okc,11,82,112.7,40.6,89.3,45.5,13.4,37.2,36.1,18.1,22.9,78.9,11.8,32.9,44.7,26.9,7.1,5.1,15.0,18.9,2023-24,regular
