rank,team_name,team_abbrev,def_rk,def_gp,def_pts,def_fgm,def_fga,def_fg_pct,def_3pm,def_3pa,def_3p_pct,def_ftm,def_fta,def_ft_pct,def_or,def_dr,def_reb,def_ast,def_stl,def_blk,def_to,def_pf,season,season_type
1,Boston Celtics,bos,1,11,100.2,36.8,85.4,43.1,10.2,32.5,31.3,16.4,22.9,71.4,12.4,30.8,43.2,19.5,6.6,3.6,11.6,20.1,2024-25,playoffs
2,Houston Rockets,hou,2,7,104.0,37.6,86.7,43.3,15.4,43.1,35.8,13.4,17.4,77.0,10.4,29.1,39.6,24.3,8.4,4.9,11.6,21.4,2024-25,playoffs
3,Golden State Warriors,gs,3,12,106.1,38.3,82.3,46.5,11.4,30.3,37.7,18.2,24.9,72.9,11.8,32.3,44.1,22.9,8.0,5.3,14.3,19.3,2024-25,playoffs
4,Oklahoma City Thunder,okc,4,23,106.3,37.0,85.6,43.3,12.8,37.4,34.1,19.5,24.7,79.0,11.8,33.3,45.1,21.7,7.3,5.4,17.0,21.7,2024-25,playoffs
5,Orlando Magic,orl,5,5,106.4,36.6,78.0,46.9,11.8,31.2,37.8,21.4,25.8,82.9,8.8,33.4,42.2,20.2,8.0,4.8,11.8,17.4,2024-25,playoffs
6,Minnesota Timberwolves,min,5,15,106.4,37.8,83.6,45.2,12.5,35.1,35.7,18.3,22.7,80.4,11.3,28.9,40.2,22.6,8.5,4.0,13.4,21.0,2024-25,playoffs
7,Los Angeles Lakers,lal,7,5,107.4,38.4,87.0,44.1,12.0,37.2,32.3,18.6,24.4,76.2,13.0,30.8,43.8,22.2,8.0,3.6,9.8,20.8,2024-25,playoffs
8,La Clippers,lac,8,7,107.7,41.1,85.3,48.2,11.3,29.0,38.9,14.1,19.7,71.7,11.3,32.0,43.3,24.6,7.7,3.9,13.1,18.3,2024-25,playoffs
9,Cleveland Cavaliers,cle,9,9,107.8,39.8,83.2,47.8,13.8,35.9,38.4,14.4,19.2,75.1,8.3,31.3,39.7,25.8,5.7,5.3,14.6,22.0,2024-25,playoffs
10,Detroit Pistons,det,10,6,108.0,39.5,87.8,45.0,11.0,30.2,36.5,18.0,23.3,77.1,10.7,29.3,40.0,19.8,8.8,5.7,11.8,21.8,2024-25,playoffs
11,New York Knicks,ny,11,18,109.6,38.5,84.8,45.4,12.8,36.2,35.4,19.7,24.9,79.1,10.2,31.1,41.3,21.7,7.2,5.7,13.2,22.8,2024-25,playoffs
12,Denver Nuggets,den,12,14,111.9,41.6,88.7,46.9,12.1,35.3,34.2,16.6,22.3,74.7,11.0,31.8,42.8,25.7,9.3,6.4,11.3,21.1,2024-25,playoffs
13,Indiana Pacers,ind,13,23,112.0,38.9,86.6,44.9,11.4,33.8,33.7,22.9,29.2,78.5,11.7,31.4,43.1,20.1,8.4,4.7,13.3,21.6,2024-25,playoffs
14,Milwaukee Bucks,mil,14,5,117.8,43.6,87.4,49.9,14.4,36.6,39.3,16.2,19.8,81.8,6.6,34.8,41.4,30.0,7.0,4.8,10.0,19.2,2024-25,playoffs
15,Memphis Grizzlies,mem,15,4,120.0,43.8,95.8,45.7,13.0,41.5,31.3,19.5,24.8,78.8,13.0,33.3,46.3,25.8,10.8,6.8,10.3,18.8,2024-25,playoffs
16,Miami Heat,mia,16,4,126.0,44.3,85.5,51.8,19.3,43.8,44.0,18.3,21.0,86.9,10.3,33.0,43.3,25.8,10.0,3.0,8.8,13.3,2024-25,playoffs
