rank,team_name,team_abbrev,off_rk,off_gp,off_pts,off_fgm,off_fga,off_fg_pct,off_3pm,off_3pa,off_3p_pct,off_ftm,off_fta,off_ft_pct,off_or,off_dr,off_reb,off_ast,off_stl,off_blk,off_to,off_pf,season,season_type
1,Cleveland Cavaliers,cle,-,9,119.4,40.9,87.8,46.6,14.9,41.0,36.3,22.8,27.9,81.7,12.3,32.3,44.7,22.9,8.9,3.6,11.3,18.6,2024-25,playoffs
2,Oklahoma City Thunder,okc,-,23,114.7,41.0,89.8,45.6,11.8,35.0,33.8,20.9,26.0,80.1,11.4,32.1,43.6,23.0,10.7,5.7,11.6,21.5,2024-25,playoffs
3,Indiana Pacers,ind,-,23,114.1,40.8,84.3,48.4,13.2,33.7,39.0,19.3,24.7,78.5,8.1,32.5,40.6,26.4,8.0,5.7,13.5,23.3,2024-25,playoffs
4,Milwaukee Bucks,mil,-,5,110.2,39.8,87.8,45.3,14.4,38.0,37.9,16.2,22.4,72.3,10.4,33.2,43.6,23.8,6.0,3.6,12.4,19.6,2024-25,playoffs
5,New York Knicks,ny,-,18,109.6,39.4,86.5,45.5,11.1,31.7,34.9,19.7,25.9,76.0,11.8,30.8,42.6,19.8,7.9,4.7,13.1,20.9,2024-25,playoffs
6,Minnesota Timberwolves,min,-,15,109.1,39.5,85.5,46.2,13.3,37.1,35.8,16.9,21.9,77.1,11.7,30.5,42.2,24.2,7.3,4.7,14.5,20.8,2024-25,playoffs
7,La Clippers,lac,-,7,108.3,41.1,84.6,48.6,12.0,33.0,36.4,14.0,19.6,71.5,10.0,29.4,39.4,26.0,8.0,7.1,11.6,19.3,2024-25,playoffs
8,Denver Nuggets,den,-,14,107.0,38.6,86.5,44.6,11.9,34.2,34.7,18.0,23.6,76.4,12.3,34.1,46.4,22.6,7.6,4.2,14.9,19.9,2024-25,playoffs
9,Detroit Pistons,det,-,6,106.7,37.2,82.7,45.0,10.2,31.3,32.4,22.2,27.8,79.6,11.0,32.8,43.8,20.0,7.2,6.3,15.5,22.8,2024-25,playoffs
10,Boston Celtics,bos,-,11,105.7,36.7,83.0,44.3,14.2,39.4,36.0,18.1,22.6,79.9,10.8,32.3,43.1,20.0,6.7,5.4,11.9,19.5,2024-25,playoffs
11,Houston Rockets,hou,-,7,104.0,36.7,82.3,44.6,10.6,28.3,37.4,20.0,28.6,70.0,13.4,33.4,46.9,19.6,7.9,5.1,12.4,17.7,2024-25,playoffs
12,Golden State Warriors,gs,-,12,103.1,36.8,85.5,43.1,13.7,38.8,35.3,15.8,20.5,76.8,12.1,28.3,40.3,23.3,8.9,3.9,13.0,21.2,2024-25,playoffs
13,Memphis Grizzlies,mem,-,4,100.5,36.0,86.8,41.5,10.5,34.5,30.4,18.0,20.5,87.8,10.3,34.0,44.3,20.5,5.8,6.5,18.3,20.8,2024-25,playoffs
14,Los Angeles Lakers,lal,-,5,100.4,34.6,78.8,43.9,13.6,38.8,35.1,17.6,21.2,83.0,9.6,29.4,39.0,21.2,5.0,5.0,13.2,21.0,2024-25,playoffs
15,Miami Heat,mia,-,4,95.5,36.3,81.5,44.5,13.8,39.8,34.6,9.3,13.3,69.8,10.0,27.3,37.3,21.3,4.5,3.0,15.5,17.3,2024-25,playoffs
16,Orlando Magic,orl,-,5,93.6,35.6,84.4,42.2,8.2,31.2,26.3,14.2,20.6,68.9,11.4,28.4,39.8,18.6,6.4,3.8,10.8,21.4,2024-25,playoffs
