season,date,position,team_name,games_played,wins,draws,losses,goals_for,goals_against,goal_diff,points
2024,2025-11-09,11,8,2,1,20,5,15,26,0,0
2024,2025-11-09,11,7,1,3,23,8,15,22,0,0
2024,2025-11-09,11,6,2,3,21,11,10,20,0,0
2024,2025-11-09,11,5,4,2,14,10,4,19,0,0
2024,2025-11-09,11,5,3,3,19,10,9,18,0,0
2024,2025-11-09,11,5,3,3,13,10,3,18,0,0
2024,2025-11-09,11,5,3,3,19,18,1,18,0,0
2024,2025-11-09,11,6,0,5,18,17,1,18,0,0
2024,2025-11-09,11,5,3,3,17,18,-1,18,0,0
2024,2025-11-09,11,4,5,2,14,9,5,17,0,0
2024,2025-11-09,11,4,4,3,17,15,2,16,0,0
2024,2025-11-09,11,5,1,5,17,17,0,16,0,0
2024,2025-11-09,11,4,3,4,12,13,-1,15,0,0
2024,2025-11-09,11,3,3,5,11,14,-3,12,0,0
2024,2025-11-09,11,3,2,6,12,16,-4,11,0,0
2024,2025-11-09,11,3,2,6,10,20,-10,11,0,0
2024,2025-11-09,11,3,1,7,14,22,-8,10,0,0
2024,2025-11-09,11,3,1,7,13,23,-10,10,0,0
2024,2025-11-09,11,2,3,6,10,20,-10,9,0,0
2024,2025-11-09,11,0,2,9,7,25,-18,2,0,0
